ID,dia,tavg,tmin,tmax,insolacion,precipitacion,pmax,pmin,observatorio
0,2019-02-01,"15,4","10,6","20,2","5,1","0,6",-999,-999,ALICANTE/ALACANT
1,2019-02-02,"12,2","9,1","15,4","7,2","0,0",-999,-999,ALICANTE/ALACANT
2,2019-02-03,"10,2","5,9","14,6","9,8","0,0",-999,-999,ALICANTE/ALACANT
3,2019-02-04,"9,6","3,2","15,9","9,9","0,0",-999,-999,ALICANTE/ALACANT
4,2019-02-05,"11,3","3,4","19,2","10,1","0,0",-999,-999,ALICANTE/ALACANT
5,2019-02-06,"12,6","5,8","19,4","10,1","0,0",-999,-999,ALICANTE/ALACANT
6,2019-02-07,"13,6","7,8","19,3","9,5","0,0",-999,-999,ALICANTE/ALACANT
7,2019-02-08,"11,6","5,1","18,0","9,6","0,0",-999,-999,ALICANTE/ALACANT
8,2019-02-09,"13,7","5,3","22,1","10,2","0,0",-999,-999,ALICANTE/ALACANT
9,2019-02-10,"12,5","5,9","19,1","5,9","0,0",-999,-999,ALICANTE/ALACANT
10,2019-02-11,"13,0","8,9","17,2","7,7","0,0",-999,-999,ALICANTE/ALACANT
11,2019-02-12,"10,8","5,0","16,5","9,5","0,0",-999,-999,ALICANTE/ALACANT
12,2019-02-13,"10,1","4,5","15,7","9,9","0,0",-999,-999,ALICANTE/ALACANT
13,2019-02-14,"11,4","6,9","15,9","6,9","0,0",-999,-999,ALICANTE/ALACANT
14,2019-02-15,"11,0","5,7","16,2","10,0","0,0",-999,-999,ALICANTE/ALACANT
15,2019-02-16,"11,0","4,0","17,9","10,2","0,0",-999,-999,ALICANTE/ALACANT
16,2019-02-17,"10,6","4,8","16,3","8,4","0,0",-999,-999,ALICANTE/ALACANT
17,2019-02-18,"11,0","4,3","17,6","10,2","0,0",-999,-999,ALICANTE/ALACANT
18,2019-02-19,"10,6","4,5","16,7","10,3","0,0",-999,-999,ALICANTE/ALACANT
19,2019-02-20,"11,5","5,7","17,3","10,0","0,0",-999,-999,ALICANTE/ALACANT
20,2019-02-21,"11,1","5,4","16,8","9,1","0,0",-999,-999,ALICANTE/ALACANT
21,2019-02-22,"11,4","3,9","18,8","10,4","0,0",-999,-999,ALICANTE/ALACANT
22,2019-02-23,"13,4","5,5","21,4","10,2","0,0",-999,-999,ALICANTE/ALACANT
23,2019-02-24,"12,6","5,9","19,2","10,2","0,0",-999,-999,ALICANTE/ALACANT
24,2019-02-25,"11,7","4,6","18,8","10,4","0,0",-999,-999,ALICANTE/ALACANT
25,2019-02-26,"12,7","4,2","21,2","10,7","0,0",-999,-999,ALICANTE/ALACANT
26,2019-02-27,"12,0","4,1","20,0","10,7","0,0",-999,-999,ALICANTE/ALACANT
27,2019-02-28,"14,5","6,0","23,0","10,3","0,0",-999,-999,ALICANTE/ALACANT
28,2019-03-01,"13,8","7,2","20,4","9,3","0,0",-999,-999,ALICANTE/ALACANT
29,2019-03-02,"15,2","9,7","20,6","9,3","0,0",-999,-999,ALICANTE/ALACANT
30,2019-03-03,"15,7","7,1","24,3","10,8","0,0",-999,-999,ALICANTE/ALACANT
31,2019-03-04,"18,1","9,3","26,9","10,3","0,0",-999,-999,ALICANTE/ALACANT
32,2019-03-05,"17,0","12,6","21,5","3,0",Ip,-999,-999,ALICANTE/ALACANT
33,2019-03-06,"15,2","12,0","18,3","3,4","0,0",-999,-999,ALICANTE/ALACANT
34,2019-03-07,"14,8","8,7","20,9","10,5","0,0",-999,-999,ALICANTE/ALACANT
35,2019-03-08,"13,4","7,1","19,7","10,6","0,0",-999,-999,ALICANTE/ALACANT
36,2019-03-09,"13,0","6,2","19,8","11,0","0,0",-999,-999,ALICANTE/ALACANT
37,2019-03-10,"14,3","7,8","20,8","11,1","0,0",-999,-999,ALICANTE/ALACANT
38,2019-03-11,"14,6","9,4","19,7","9,6","0,0",-999,-999,ALICANTE/ALACANT
39,2019-03-12,"13,4","7,3","19,5","11,0","0,0",-999,-999,ALICANTE/ALACANT
40,2019-03-13,"15,2","10,0","20,3","8,9","0,0",-999,-999,ALICANTE/ALACANT
41,2019-03-14,"12,0","6,5","17,4","11,4","0,0",-999,-999,ALICANTE/ALACANT
42,2019-03-15,"14,8","7,3","22,2","11,4","0,0",-999,-999,ALICANTE/ALACANT
43,2019-03-16,"15,2","7,4","22,9","11,2","0,0",-999,-999,ALICANTE/ALACANT
44,2019-03-17,"18,8","8,5","29,2","11,4","0,0",-999,-999,ALICANTE/ALACANT
45,2019-03-18,"12,6","8,7","16,6","1,8",Ip,-999,-999,ALICANTE/ALACANT
46,2019-03-19,"12,9","8,2","17,6","5,8",Ip,-999,-999,ALICANTE/ALACANT
47,2019-03-20,"10,4","6,6","14,1","3,4","0,3",-999,-999,ALICANTE/ALACANT
48,2019-03-21,"12,4","7,0","17,9","10,9","0,0",-999,-999,ALICANTE/ALACANT
49,2019-03-22,"14,5","8,4","20,6","8,9","0,1",-999,-999,ALICANTE/ALACANT
50,2019-03-23,"15,4","11,1","19,6","3,5","0,0",-999,-999,ALICANTE/ALACANT
51,2019-03-24,"14,0","7,4","20,6","10,7","0,0",-999,-999,ALICANTE/ALACANT
52,2019-03-25,"14,6","7,3","21,8","11,6","0,0",-999,-999,ALICANTE/ALACANT
53,2019-03-26,"12,7","7,0","18,4","11,6","0,0",-999,-999,ALICANTE/ALACANT
54,2019-03-27,"12,1","6,3","17,9","11,6","0,0",-999,-999,ALICANTE/ALACANT
55,2019-03-28,"12,0","5,4","18,5","11,6","0,0",-999,-999,ALICANTE/ALACANT
56,2019-03-29,"11,7","6,6","16,8","10,8","0,0",-999,-999,ALICANTE/ALACANT
57,2019-03-30,"12,1","6,8","17,4","9,6","4,6",-999,-999,ALICANTE/ALACANT
